Date,Close,High,Low,Open,Volume
,AMZN,AMZN,AMZN,AMZN,AMZN
2024-05-24,180.75,182.44,180.3,181.65,27434100
2024-05-28,182.15,182.24,179.49,179.93,29927000
2024-05-29,182.02,184.08,181.55,181.7,32009300
2024-05-30,179.32,181.34,178.36,181.31,29249200
2024-05-31,176.44,179.21,173.87,178.3,58903900
2024-06-03,178.34,178.7,175.92,177.7,30786600
2024-06-04,179.34,179.82,176.44,177.64,27198400
2024-06-05,181.28,181.5,178.75,180.1,32116400
2024-06-06,185.0,185.0,181.49,181.75,31371200
2024-06-07,184.3,186.29,183.36,184.9,28021500
2024-06-10,187.06,187.23,183.79,184.07,34494500
2024-06-11,187.23,187.77,184.54,187.06,27265100
2024-06-12,186.89,188.35,185.43,188.02,33984200
2024-06-13,183.83,187.67,182.67,186.09,39721500
2024-06-14,183.66,183.72,182.23,183.08,25456400
2024-06-17,184.06,185.0,181.22,182.52,35601900
2024-06-18,182.81,184.29,181.43,183.74,36659200
2024-06-20,186.1,186.51,182.72,182.91,44726800
2024-06-21,189.08,189.28,185.86,187.8,72931800
2024-06-24,185.57,191.0,185.33,189.33,50610400
2024-06-25,186.34,188.84,185.42,186.81,45898500
2024-06-26,193.61,194.8,186.26,186.92,65103900
2024-06-27,197.85,199.84,194.2,195.01,74397500
2024-06-28,193.25,198.85,192.5,197.73,76930200
2024-07-01,197.2,198.3,192.82,193.49,41192000
2024-07-02,200.0,200.43,195.93,197.28,45600000
2024-07-03,197.59,200.03,196.76,199.94,31597900
2024-07-05,200.0,200.55,198.17,198.65,39858900
2024-07-08,199.29,201.2,197.96,200.04,34767300
2024-07-09,199.34,200.57,199.05,199.4,32700100
2024-07-10,199.79,200.11,197.69,200.0,32883800
2024-07-11,195.05,200.27,192.86,200.09,44565000
2024-07-12,194.49,196.47,193.83,194.8,30598500
2024-07-15,192.72,196.19,190.83,194.56,40683200
2024-07-16,193.02,196.62,192.24,195.59,33994700
2024-07-17,187.93,191.58,185.99,191.35,48076100
2024-07-18,183.75,189.68,181.45,189.59,51043600
2024-07-19,183.13,184.93,180.11,181.14,43081800
2024-07-22,182.55,185.06,182.48,185.0,39931900
2024-07-23,186.41,189.39,183.56,184.1,47537700
2024-07-24,180.83,185.45,180.41,183.2,41532400
2024-07-25,179.85,183.9,176.8,182.91,44464200
2024-07-26,182.5,183.19,180.24,180.39,29506000
2024-07-29,183.2,184.75,182.38,183.84,33270100
2024-07-30,181.71,185.86,179.38,184.72,39508600
2024-07-31,186.98,187.94,184.46,185.05,41667300
2024-08-01,184.07,190.6,181.87,189.29,70435600
2024-08-02,167.9,168.77,160.55,166.75,141448400
2024-08-05,161.02,162.96,151.61,154.21,83149400
2024-08-06,161.93,165.08,158.54,161.71,59950800
2024-08-07,162.77,167.58,161.43,166.55,48408200
2024-08-08,165.8,166.69,162.55,165.17,44616200
2024-08-09,166.94,168.55,165.85,166.4,36401000
2024-08-12,166.8,168.55,166.11,168.14,30072800
2024-08-13,170.23,171.04,167.1,167.81,39237900
2024-08-14,170.1,172.28,168.86,172.11,28843800
2024-08-15,177.59,177.91,173.99,174.86,51698500
2024-08-16,177.06,178.34,176.26,177.04,31489200
2024-08-19,178.22,178.3,176.16,177.64,31129800
2024-08-20,178.88,179.01,177.43,177.92,26255200
2024-08-21,180.11,182.39,178.89,179.92,35599100
2024-08-22,176.13,181.47,175.68,181.38,32047500
2024-08-23,177.04,178.97,175.24,177.34,29150100
2024-08-26,175.5,177.47,174.3,176.7,22366200
2024-08-27,173.12,174.89,172.25,174.15,29842000
2024-08-28,170.8,173.69,168.92,173.69,29045000
2024-08-29,172.12,174.29,170.81,173.22,26407800
2024-08-30,178.5,178.9,172.6,172.78,43429400
2024-09-03,176.25,178.26,175.26,177.55,37817500
2024-09-04,173.33,175.98,172.54,174.48,30309200
2024-09-05,177.89,179.88,175.0,175.0,40170500
2024-09-06,171.39,178.38,171.16,177.24,41466500
2024-09-09,175.4,175.85,173.51,174.53,29037400
2024-09-10,179.55,180.5,176.79,177.49,36233800
2024-09-11,184.52,184.99,175.73,180.1,42564700
2024-09-12,187.0,187.41,183.54,184.8,33622500
2024-09-13,186.49,188.5,185.91,187.0,26495400
2024-09-16,184.89,185.81,183.36,185.29,26065500
2024-09-17,186.88,189.45,186.14,186.85,26091700
2024-09-18,186.43,188.8,185.06,186.45,34448100
2024-09-19,189.87,190.99,188.47,190.04,39543200
2024-09-20,191.6,191.84,187.41,190.23,100378600
2024-09-23,193.88,194.45,190.57,191.64,36993100
2024-09-24,193.96,195.37,190.13,194.27,43478900
2024-09-25,192.53,193.95,192.16,193.75,26391100
2024-09-26,191.16,194.53,189.54,194.31,36334900
2024-09-27,187.97,190.9,187.34,190.68,36002300
2024-09-30,186.33,188.49,184.65,187.14,41583900
2024-10-01,185.13,186.19,183.45,184.9,36044900
2024-10-02,184.76,186.6,184.04,184.44,23704100
2024-10-03,181.96,183.44,180.88,183.05,30204300
2024-10-04,186.51,187.6,183.6,185.75,40890300
2024-10-07,180.8,183.6,180.25,182.95,42364200
2024-10-08,182.72,183.09,180.92,181.92,26372100
2024-10-09,185.17,185.85,182.05,182.82,26343100
2024-10-10,186.65,188.13,185.83,187.13,27785000
2024-10-11,188.82,189.93,186.3,186.63,25751600
2024-10-14,187.54,189.83,187.36,189.78,22614400
2024-10-15,187.69,188.41,184.58,187.63,32178900
2024-10-16,186.89,187.78,185.61,187.05,23456800
2024-10-17,187.53,188.94,186.0,188.22,25039400
2024-10-18,188.99,190.74,186.28,187.15,37417700
2024-10-21,189.07,189.46,186.4,188.05,24639400
2024-10-22,189.7,191.52,186.98,188.35,29650600
2024-10-23,184.71,189.16,183.69,188.85,31937100
2024-10-24,186.38,187.11,183.86,185.25,21647400
2024-10-25,187.83,190.45,187.53,187.85,29362100
2024-10-28,188.39,190.21,188.21,189.57,27930800
2024-10-29,190.83,191.46,187.82,188.58,35690200
2024-10-30,192.73,195.61,192.42,194.7,37707600
2024-10-31,186.4,190.6,185.23,190.51,75146800
2024-11-01,197.93,200.5,197.02,199.0,99687800
2024-11-04,195.78,197.33,194.31,196.45,38492100
2024-11-05,199.5,199.82,195.99,196.04,30564800
2024-11-06,207.09,207.55,199.14,200.01,72292200
2024-11-07,210.05,212.25,207.19,207.44,52878400
2024-11-08,208.18,209.96,207.44,209.72,36075800
2024-11-11,206.84,209.65,205.59,208.5,35456000
2024-11-12,208.91,209.54,206.01,208.37,38942900
2024-11-13,214.1,215.09,209.14,209.4,46212900
2024-11-14,211.48,215.9,210.88,214.16,42620300
2024-11-15,202.61,207.34,199.61,206.76,86591100
2024-11-18,201.7,204.67,200.95,204.15,36512500
